Card Name,Image URL,Image Alt Text,Know More Link
Times Black ICICI Bank Credit Card,https://www.icicibank.com/content/dam/icicibank/managed-assets/images/times-black/times-black.webp,Times Black ICICI Bank Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/times-black-icici-credit-card?ITM=nli_cms_CC_choosecard_times-blackCC_ccindex_knowmorebtn
Emeralde Private Metal Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/emeralde-private-metal-credit-card.jpg,Emeralde Private Metal Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/emeralde-private-metal-credit-card?ITM=nli_cms_CC_choosecard_epmcc_ccindex_knowmorebtn
Emeralde Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/emereld-credit-card-top-fold.png,Emeralde Credit Card,https://www.icicibank.com/ms/Personal-Banking/cards/consumer-cards/credit-card/emeralde-credit-card/index.html?ITM=nli_cms_CC_ECC_cta_knowmorebtn
Sapphiro Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/sapphiro-card.png,Sapphiro Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/sapphiro-credit-card/key-privileges?ITM=nli_cms_CC_choosecard_sapphiro_ccindex_knowmorebtn
Rubyx Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/rubyx-card.png,Rubyx Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/rubyx-credit-card/key-privileges?ITM=nli_cms_CC_choosecard_rubyx_ccindex_knowmorebtn
Coral Credit Card,https://www.icicibank.com/content/dam/icicibank/optimized-webp-images/images/logout/coral-card.webp,Coral Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/coral-credit-card/key-privileges?ITM=nli_cms_CC_choosecard_coral_ccindex_knowmorebtn
Manchester United Platinum Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/manchester-platinum-credit-card.png,Manchester United Platinum Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/manchester-platinum-card?ITM=nli_cms_CC_choosecard_Muplatinum_ccindex_knowmorebtn
Manchester United Signature Credit Card,https://www.icicibank.com/content/dam/icicibank/optimized-webp-images/managed-assets/credit-card/manchester-signature-credit-card.webp,Manchester United Signature Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/manchester-credit-card/signature-card/key-privileges?ITM=nli_cms_CC_choosecard_Musignature_ccindex_knowmorebtn
Chennai Super Kings Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/CSK-cardshot.png,Chennai Super Kings Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/csk-card/key-privileges?ITM=nli_cms_CC_choosecard_CSk_index_knowmorebtn
Adani One Signature Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/revamp-pages/makemytrip-icici-credit-card/images/adani-sign-card.webp,Adani One Signature Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/adani-icici-credit-card/signature-credit-card?ITM=nli_cms_credit-card_indexpage_signature-creditcard_knowbtn
MakeMyTrip ICICI Bank Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/images/cards/card-shot.webp,MakeMyTrip ICICI Bank Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/travel-mmt/makemytrip-icici-credit-card?ITM=nli_cms_credit-card_indexpage_makemystrip_knowbtn
Adani One Platinum Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/revamp-pages/makemytrip-icici-credit-card/images/adani-platinum-card.webp,Adani One Platinum Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/adani-icici-credit-card/platinum-card?ITM=nli_cms_cc_ADP_banner_index_knowmorebtn
MakeMyTrip ICICI Bank Platinum Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/mmt-platinum-credit-card.png,MakeMyTrip Platinum Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/makemytrip/platinum-credit-card?ITM=nli_cms_CC_choosecard_mmtplatinum_index_knowmorebtn
MakeMyTrip ICICI Bank Signature Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/mmt-signature-credit-card.png,MakeMyTrip Signature Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/makemytrip/signature-card/key-privileges?ITM=nli_cms_CC_choosecard_mmtplatinum_index_knowmorebtn
Expressions Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/expression_212X135.jpg,Expressions Credit Card,https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Credit-Card/expressions-card/index.html?ITM=nli_cms_CC_choosecard_expressions_index_knowmorebtn
HPCL Coral Visa Card,https://www.icicibank.com/content/dam/icicibank/optimized-webp-images/managed-assets/credit-card/hplc-coral.webp,HPCL Coral Visa Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/hpcl-coral-credit-card?ITM=nli_cms_CC_choosecard_hpclcoral_index_knowmorebtn
HPCL Super Saver Credit Card,https://www.icicibank.com/content/dam/icicibank/optimized-webp-images/managed-assets/credit-card/hpcl-super-saver-visa-credit-card.webp,HPCL Super Saver Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/hpcl-super-saver/what-makes-this-work?ITM=nli_cms_CC_choosecard_hpclsupersaver_index_knowmorebtn
Emirates,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/Emirates_Rubyx_212x135.jpg,Emirates Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/emirates-credit-card?ITM=nli_cms_CC_choosecard_emirates_index_knowmorebtn
Accelero,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/Accelero_212x135.jpg,Accelero Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/accelero-card?ITM=nli_cms_CC_choosecard_accelero_index_knowmorebtn
Platinum Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/platanium-card.png,Platinum Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/platinum-chip/key-privileges?ITM=nli_cms_CC_choosecard_platinumchip_ccindex_knowmorebtn
MakeMyTrip ICICI Bank Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/images/cards/card-shot.webp,MakeMyTrip ICICI Bank Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/travel-mmt/makemytrip-icici-credit-card
Adani One ICICI Bank Signature Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/revamp-pages/makemytrip-icici-credit-card/images/adani-sign-card.webp,Adani One ICICI Bank Signature Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/adani-icici-credit-card/signature-credit-card
Adani One ICICI Bank Platinum Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/revamp-pages/makemytrip-icici-credit-card/images/adani-platinum-card.webp,Adani One ICICI Bank Platinum Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/adani-icici-credit-card/platinum-card.html
Sapphiro RuPay Credit Card,https://www.icicibank.com/content/dam/icicibank/managed-assets/images/sapphiro-rupay.webp,sapphiro rupay,https://www.icicibank.com/personal-banking/cards/credit-card/rupay-credit-card?ITM=nli_cms_CC_indexpage_RupayCCcta.html
Emeralde Private Metal Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/emeralde-private-metal-credit-card-recent.jpg,Emeralde Private Metal Credit Card,N/A
Parakram Credit Card,https://www.icicibank.com/content/dam/icicibank/managed-assets/images/credit-card/parakram-card-rlp.webp,ICICI Bank Parakram Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/parakram/normal
ICICI Bank HPCL Super Saver RuPay Credit Card,https://www.icicibank.com/content/dam/icicibank/managed-assets/images/credit-card/hpcl.webp,ICICI Bank HPCL Super Saver RuPay Credit Card ,https://www.icicibank.com/personal-banking/cards/credit-card/hpcl-super-saver
Amazon Pay ICICI Credit Card,https://www.icicibank.com/content/dam/icicibank/india/managed-assets/credit-card/Amazoncard.png,Amazon Pay ICICI Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/amazon-pay-credit-card
Coral RuPay Credit Card,https://www.icicibank.com/content/dam/icicibank/icici-assets/nri-banking/nri-new-revamp/coral-card.webp,coral-card,https://www.icicibank.com/personal-banking/cards/credit-card/coral-rupay-credit-card?ITM=nli_cms_CC_rupay_introbanner_applynow_btn
