card_name,Image Link,Know More Link,Joining Fee,Renewal Fee,Best Suited For,Reward Type,Welcome Benefits
Flipkart Axis Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Flipkart-Axis-Bank-Credit-Card.webp,https://cardinsider.com/axis-bank/flipkart-axis-bank-credit-card/,Joining Fee     Rs. 500 + GST       Renewal Fee     Rs. 500 + GST    Best Suited For  Shopping  Reward Type Cashback Welcome Benefits  Introductory Benefits Worth Rs. 600 on Card Issuance,Rs. 500 + GST,Shopping,Cashback,Introductory Benefits Worth Rs. 600 on Card Issuance
Axis My Zone Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Axis-My-Zone-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-my-zone-credit-card/,"Joining Fee     ₹500 + GST       Renewal Fee     ₹500 + GST    Best Suited For  Movies | Shopping | Food  Reward Type Reward Points Welcome Benefits  Free SonyLiv Subscription Worth ₹1,499",₹500 + GST,Movies | Shopping | Food,Reward Points,"Free SonyLiv Subscription Worth ₹1,499"
IndianOil Axis Bank RuPay Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Indian-Oil-Axis-Bank-RuPay-Credit-Card.webp,https://cardinsider.com/axis-bank/indian-oil-axis-bank-credit-card/,"Joining Fee     Rs. 500 + GST       Renewal Fee     Rs. 500 + GST    Best Suited For  Fuel | Shopping  Reward Type Reward Points Welcome Benefits  1,250 EDGE Reward Points Worth ₹250",Rs. 500 + GST,Fuel | Shopping,Reward Points,"1,250 EDGE Reward Points Worth ₹250"
Airtel Axis Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/03/Airtel-Axis-Bank-Rupay-Credit-Card.webp,https://cardinsider.com/axis-bank/airtel-axis-bank-credit-card/,Joining Fee     ₹500 + GST       Renewal Fee     ₹500 + GST    Best Suited For  Travel | Food | Utility Bill Payment  Reward Type Cashback Welcome Benefits  Amazon Voucher Worth Rs. 500,₹500 + GST,Travel | Food | Utility Bill Payment,Cashback,Amazon Voucher Worth Rs. 500
Axis Bank Neo Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Axis-Bank-Neo-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-neo-credit-card/,Joining Fee     Nil       Renewal Fee     Nil    Best Suited For  Shopping | Food  Reward Type Reward Points Welcome Benefits  100% Cashback Up to ₹300 on First Utility Bill Payment,Nil,Shopping | Food,Reward Points,100% Cashback Up to ₹300 on First Utility Bill Payment
IndianOil Axis Bank Premium Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/IndianOil-Axis-Bank-Premium-Credit-Card.webp,https://cardinsider.com/axis-bank/indianoil-axis-bank-premium-credit-card/,"Joining Fee     Rs. 1,000 + GST       Renewal Fee     Rs. 1,000 + GST    Best Suited For  Fuel  Reward Type Reward Points Welcome Benefits  500 EDGE Miles on the First Transaction Within 30 Days of Card Issuance","Rs. 1,000 + GST",Fuel,Reward Points,500 EDGE Miles on the First Transaction Within 30 Days of Card Issuance
Axis Bank ACE Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/Axis-Bank-ACE-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-ace-credit-card/,Joining Fee     Nil for Limited Time       Renewal Fee     Rs. 499 + GST    Best Suited For  Utility Bill Payment  Reward Type Cashback Welcome Benefits  N/A,Nil for Limited Time,Utility Bill Payment,Cashback,N/A
Axis Bank SELECT Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Axis-Bank-SELECT-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-select-credit-card/,"Joining Fee     Rs. 3,000 + GST       Renewal Fee     Rs. 3,000 + GST    Best Suited For  Travel | Shopping  Reward Type Reward Points Welcome Benefits  10,000 EDGE Reward Points (Worth ₹2,000) on First Transaction","Rs. 3,000 + GST",Travel | Shopping,Reward Points,"10,000 EDGE Reward Points (Worth ₹2,000) on First Transaction"
Axis Bank Atlas Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/02/Axis-Bank-Atlas-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-atlas-credit-card/,"Joining Fee     Rs. 5,000 + GST       Renewal Fee     Rs. 5,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  2,500 Edge Miles on Completing 1 Transaction Within 30 Days of Card Issuance","Rs. 5,000 + GST",Travel,Reward Points,"2,500 Edge Miles on Completing 1 Transaction Within 30 Days of Card Issuance"
Axis Bank Privilege Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Axis-Bank-Privilege-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-privilege-credit-card/,"Joining Fee     ₹1,500 + GST       Renewal Fee     ₹1,500 + GST    Best Suited For  Travel | Shopping  Reward Type Reward Points Welcome Benefits  12,500 EDGE Reward Points Worth ₹2,500","₹1,500 + GST",Travel | Shopping,Reward Points,"12,500 EDGE Reward Points Worth ₹2,500"
Axis Bank Rewards Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2023/03/Axis-Bank-Rewards-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-rewards-credit-card/,"Joining Fee     Rs. 1,000 + GST       Renewal Fee     Rs. 1,000 + GST    Best Suited For  Dining | Shopping  Reward Type Reward Points Welcome Benefits  5000 EDGE reward points on spending Rs. 1000 and above within 30 days of card activation","Rs. 1,000 + GST",Dining | Shopping,Reward Points,5000 EDGE reward points on spending Rs. 1000 and above within 30 days of card activation
Axis Bank Olympus Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/Axis-Bank-Olympus-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-olympus-credit-card/,"Joining Fee     ₹20,000 + GST       Renewal Fee     ₹20,000 + GST    Best Suited For  Movies | Travel | Shopping  Reward Type Reward Points Welcome Benefits  2,500 EDGE Miles and Taj/ITC Hotel Vouchers Worth ₹10,000","₹20,000 + GST",Movies | Travel | Shopping,Reward Points,"2,500 EDGE Miles and Taj/ITC Hotel Vouchers Worth ₹10,000"
