card_name,Image Link,Know More Link,Joining Fee,Renewal Fee,Best Suited For,Reward Type,Welcome Benefits
ICICI Bank Coral Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/06/ICICI-Bank-Coral-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-coral-credit-card/,Joining Fee     Rs. 500 + GST       Renewal Fee     Rs. 500 + GST    Best Suited For  Movies | Dining  Reward Type Reward Points Welcome Benefits  N/A,Rs. 500 + GST,Movies | Dining,Reward Points,N/A
MakeMyTrip ICICI Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/10/MakeMyTrip-ICICI-Bank-Credit-Card.webp,https://cardinsider.com/icici-bank/makemytrip-icici-bank-credit-card/,"Joining Fee     ₹999 + GST       Renewal Fee     ₹999 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  ₹1,000 MMT Voucher and MMTBLACK Gold Tier Membership",₹999 + GST,Travel,Reward Points,"₹1,000 MMT Voucher and MMTBLACK Gold Tier Membership"
ICICI Bank Platinum Chip Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-Platinum-Chip-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-platinum-chip-credit-card/,Joining Fee     Lifetime Free       Renewal Fee     Lifetime Free    Best Suited For  Dining | Shopping  Reward Type Reward Points Welcome Benefits  N/A,Lifetime Free,Dining | Shopping,Reward Points,N/A
Times Black ICICI Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/12/Times-Black-ICICI-Bank-Credit-Card.webp,https://cardinsider.com/icici-bank/times-black-icici-bank-credit-card-review/,"Joining Fee     ₹20,000 + GST       Renewal Fee     ₹20,000 + GST    Best Suited For  Travel | Shopping  Reward Type Reward Points Welcome Benefits  ₹10,000 EaseMyTrip Hotel Voucher, ₹10,000 Onevasco & More Visa Services, ₹3,000 Toni & Guy Voucher and Zomato Gold Membership","₹20,000 + GST",Travel | Shopping,Reward Points,"₹10,000 EaseMyTrip Hotel Voucher, ₹10,000 Onevasco & More Visa Services, ₹3,000 Toni & Guy Voucher and Zomato Gold Membership"
ICICI Bank Rubyx Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-Rubyx-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-rubyx-credit-card/,"Joining Fee     Rs. 3,000 + GST       Renewal Fee     Rs. 2,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  Travel & Shopping Vouchers Worth Rs. 5,000","Rs. 3,000 + GST",Travel,Reward Points,"Travel & Shopping Vouchers Worth Rs. 5,000"
Amazon Pay ICICI Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/06/Amazon-Pay-ICICI-Bank-Credit-Card-1.webp,https://cardinsider.com/icici-bank/amazon-pay-icici-bank-credit-card/,"Joining Fee     Lifetime Free       Renewal Fee     Lifetime Free    Best Suited For  Shopping  Reward Type Cashback Welcome Benefits  Cashback and Discounts Up to ₹2,500 (Both for Prime and Non-Prime Members) and One Month EazyDiner Membership",Lifetime Free,Shopping,Cashback,"Cashback and Discounts Up to ₹2,500 (Both for Prime and Non-Prime Members) and One Month EazyDiner Membership"
ICICI Bank HPCL Super Saver Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-HPCL-Super-Saver-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-hpcl-super-saver-credit-card/,"Joining Fee     ₹500 + GST       Renewal Fee     ₹500 + GST    Best Suited For  Fuel | Shopping  Reward Type Reward Points Welcome Benefits  2,000 bonus Reward Points on paying the membership fee within 2 months and spending at least Rs. 5,000 within the first 45 days of card issuance; Rs. 100 cashback on HP Pay app on the first fuel purchase of Rs. 1,000 or more.",₹500 + GST,Fuel | Shopping,Reward Points,"2,000 bonus Reward Points on paying the membership fee within 2 months and spending at least Rs. 5,000 within the first 45 days of card issuance; Rs. 100 cashback on HP Pay app on the first fuel purchase of Rs. 1,000 or more."
Adani One ICICI Bank Platinum Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/Adani-One-ICICI-Bank-Platinum-Credit-Card.webp,https://cardinsider.com/icici-bank/adani-one-icici-bank-platinum-credit-card/,"Joining Fee     ₹750 + GST       Renewal Fee     ₹750 + GST    Best Suited For  Travel  Reward Type Adani Reward Points Welcome Benefits  Hotel Voucher Worth ₹1,000. Flight Voucher Worth ₹2,000 on Spends of ₹10,000.",₹750 + GST,Travel,Adani Reward Points,"Hotel Voucher Worth ₹1,000. Flight Voucher Worth ₹2,000 on Spends of ₹10,000."
Adani One Signature Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/Adani-One-Signature-Credit-Card.webp,https://cardinsider.com/icici-bank/adani-one-signature-credit-card/,"Joining Fee     Rs. 5,000 + GST       Renewal Fee     Rs. 5,000 + GST    Best Suited For  Movies | Travel  Reward Type Adani Reward Points Welcome Benefits  Hotel and Holiday Voucher Worth ₹2,000 Each. ₹5,000 Flight Voucher on Spends of ₹25,000 Within 60 Days of Card Activation","Rs. 5,000 + GST",Movies | Travel,Adani Reward Points,"Hotel and Holiday Voucher Worth ₹2,000 Each. ₹5,000 Flight Voucher on Spends of ₹25,000 Within 60 Days of Card Activation"
ICICI Bank Sapphiro Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/10/ICICI-Bank-Sapphiro-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-sapphiro-credit-card/,"Joining Fee     ₹6,500 + GST       Renewal Fee     ₹3,500 + GST    Best Suited For  Travel | Shopping  Reward Type Reward Points Welcome Benefits  Exclusive Travel & Shopping Vouchers Worth More than ₹9,500 (From Tata CliQ, EaseMyTrip, Uber, Croma)","₹6,500 + GST",Travel | Shopping,Reward Points,"Exclusive Travel & Shopping Vouchers Worth More than ₹9,500 (From Tata CliQ, EaseMyTrip, Uber, Croma)"
